test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-GW1A,BGP,ArBGP is configured and operating,ArBGP,PASS
2,DC1-GW1B,BGP,ArBGP is configured and operating,ArBGP,PASS
3,DC1-LEAF1A,BGP,ArBGP is configured and operating,ArBGP,PASS
4,DC1-LEAF1B,BGP,ArBGP is configured and operating,ArBGP,PASS
5,DC1-LEAF2A,BGP,ArBGP is configured and operating,ArBGP,PASS
6,DC1-LEAF2B,BGP,ArBGP is configured and operating,ArBGP,PASS
7,DC1-SPINE1,BGP,ArBGP is configured and operating,ArBGP,PASS
8,DC1-SPINE2,BGP,ArBGP is configured and operating,ArBGP,PASS
9,DC1-LEAF1A,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.1,PASS
10,DC1-LEAF1A,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.2,PASS
11,DC1-LEAF1B,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.1,PASS
12,DC1-LEAF1B,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.2,PASS
13,DC1-LEAF2A,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.1,PASS
14,DC1-LEAF2A,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.2,PASS
15,DC1-LEAF2B,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.1,PASS
16,DC1-LEAF2B,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.2,PASS
17,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.7,PASS
18,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.8,PASS
19,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.3,PASS
20,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.4,PASS
21,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.5,PASS
22,DC1-SPINE1,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.6,PASS
23,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.7,PASS
24,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.8,PASS
25,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.3,PASS
26,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.4,PASS
27,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.5,PASS
28,DC1-SPINE2,BFD, evpn peer bfd state,bgp_neighbor: 10.1.1.6,PASS
